init_group,target_group,know_each_other,init_name,target_name,time,conv_id,utterance_counter,simulation,utterance,birthday_mentioned,Sam_birthday_mentioned,Isabella_birthday_mentioned
newcomer to the village,longterm resident of the village,True,Carlos,Sam,"February 13, 2023, 08:13:00",9,12,2_village_23,"Thank you, Sam. I appreciate your warm welcome and the guidance you've provided. I look forward to exploring the village and meeting more of the residents. I'll make sure to stop by The Rose and Crown Pub for your birthday party tomorrow.",True,True,False
newcomer to the village,longterm resident of the village,True,Carlos,Sam,"February 13, 2023, 08:13:00",9,14,2_village_23,"Thank you, Sam. I appreciate your warm welcome and the guidance you've provided. I look forward to exploring the village and meeting more of the residents. I'll make sure to stop by The Rose and Crown Pub for your birthday party tomorrow.",True,True,False
newcomer to the village,newcomer to the village,True,Wolfgang,Ayesha,"February 13, 2023, 08:42:40",13,12,2_village_23,"Hey Ayesha, would you be interested in joining Sam's birthday party at The Rose and Crown Pub? It could be a great way for us to meet more villagers and be part of the community.",True,True,False
newcomer to the village,newcomer to the village,True,Ayesha,Wolfgang,"February 13, 2023, 08:42:40",13,13,2_village_23,"That sounds like a fantastic idea, Wolfgang! I would love to join Sam's birthday party at The Rose and Crown Pub. It will be a great opportunity to meet more villagers and immerse ourselves in the community.",True,True,False
newcomer to the village,newcomer to the village,True,Wolfgang,Ayesha,"February 13, 2023, 08:42:40",13,14,2_village_23,"Hey Ayesha, I'm glad we're both eager to explore the village and connect with the community. I look forward to attending Sam's birthday party at The Rose and Crown Pub together and meeting more villagers.",True,True,False
newcomer to the village,newcomer to the village,True,Ayesha,Wolfgang,"February 13, 2023, 08:42:40",13,15,2_village_23,"Thank you, Wolfgang! I'm really excited to attend Sam's birthday party at The Rose and Crown Pub with you. It will be a great way to meet more villagers and be part of the community.",True,True,False
longterm resident of the village,newcomer to the village,True,Sam,Ayesha,"February 13, 2023, 09:16:10",16,6,2_village_23,"That's fantastic, Ayesha! How about we grab a cup of coffee at Hobbs Cafe after our walk at Johnson Park? We can chat some more and maybe even plan to attend my birthday party at The Rose and Crown Pub tomorrow.",True,True,False
newcomer to the village,longterm resident of the village,True,Ayesha,Sam,"February 13, 2023, 09:16:00",16,7,2_village_23,"That sounds like a fantastic plan, Sam! I look forward to exploring the village with you, meeting the residents, grabbing coffee at Hobbs Cafe, and attending your birthday party at The Rose and Crown Pub. Thank you for being so welcoming and inviting me to be a part of these experiences.",True,True,False
newcomer to the village,longterm resident of the village,True,Ayesha,Sam,"February 13, 2023, 09:16:00",16,9,2_village_23,"Thank you so much, Sam, for being so welcoming and showing me around the village. I truly appreciate your kindness and look forward to our walk at Johnson Park, coffee at Hobbs Cafe, and your birthday party at The Rose and Crown Pub. It's wonderful to have someone like you to guide me in this new community.",True,True,False
newcomer to the village,longterm resident of the village,True,Ayesha,Sam,"February 13, 2023, 09:16:00",16,11,2_village_23,"Sam, I am grateful for your hospitality and willingness to show me around the village. I am looking forward to our walk at Johnson Park, our coffee at Hobbs Cafe, meeting the residents, and attending your birthday party at The Rose and Crown Pub.",True,True,False
newcomer to the village,longterm resident of the village,True,Ayesha,Sam,"February 13, 2023, 09:16:00",16,15,2_village_23,"Sam, I truly appreciate your kindness and generosity in showing me around the village. I feel grateful to have met such a welcoming friend like you. I look forward to exploring more of the village's history and culture together, and I am excited to attend your birthday party at The Rose and Crown Pub. Thank you for making me feel so at home here.",True,True,False
longterm resident of the village,longterm resident of the village,True,Sam,Adam,"February 13, 2023, 09:41:20",17,0,2_village_23,"Hey Adam, I was just thinking about the birthday party tomorrow at The Rose and Crown Pub. Are you planning to stop by?",True,True,False
longterm resident of the village,newcomer to the village,True,Sam,Isabella,"February 13, 2023, 10:03:20",19,4,2_village_23,"Isabella, after our walk in Johnson Park, would you like to join me for my birthday party at The Rose and Crown Pub tomorrow?",True,True,False
newcomer to the village,longterm resident of the village,True,Isabella,Sam,"February 13, 2023, 10:03:20",19,5,2_village_23,"Thank you so much for inviting me to your birthday party at The Rose and Crown Pub, Sam. I would be delighted to attend!",True,True,False
newcomer to the village,longterm resident of the village,True,Isabella,Sam,"February 13, 2023, 10:03:20",19,9,2_village_23,"Thank you for showing me around and inviting me to your birthday party, Sam. I appreciate your kindness and am looking forward to exploring more of the village with you.",True,False,False
newcomer to the village,newcomer to the village,True,Isabella,Carlos,"February 13, 2023, 10:57:00",24,11,2_village_23,"Carlos, I'm also planning my birthday party at Hobbs Cafe tomorrow at 5 pm. I would love for you to join me in the celebration.",True,False,True
newcomer to the village,newcomer to the village,True,Carlos,Isabella,"February 13, 2023, 10:57:00",24,12,2_village_23,"Isabella, I would be honored to join you at your birthday party at Hobbs Cafe tomorrow at 5 pm. Thank you for the invitation.",True,False,True
newcomer to the village,newcomer to the village,True,Carlos,Isabella,"February 13, 2023, 10:57:00",24,14,2_village_23,"Isabella, I am truly grateful for the opportunity to celebrate your birthday at Hobbs Cafe tomorrow at 5 pm. I look forward to being a part of your special day.",True,False,True
longterm resident of the village,newcomer to the village,True,Klaus,Ayesha,"February 13, 2023, 11:06:00",25,12,2_village_23,"Ayesha, as we wrap up our tour for today, would you be interested in joining us for Sam's birthday party at The Rose and Crown Pub later this evening? It's a great way to immerse yourself in the community and meet more residents.",True,True,False
longterm resident of the village,newcomer to the village,True,Sam,Wolfgang,"February 13, 2023, 11:06:10",26,2,2_village_23,"That's wonderful to hear, Wolfgang! If you're interested, I'm planning on having my birthday party at The Rose and Crown Pub tomorrow evening. It would be great to have you there and introduce you to more of the villagers. What do you think?",True,True,False
newcomer to the village,longterm resident of the village,True,Wolfgang,Sam,"February 13, 2023, 11:06:00",26,3,2_village_23,"Thank you so much for the invitation, Sam! I would love to attend your birthday party at The Rose and Crown Pub tomorrow evening. It's a great opportunity to meet more of the villagers and be part of the community.",True,True,False
newcomer to the village,longterm resident of the village,True,Wolfgang,Sam,"February 13, 2023, 11:06:00",26,5,2_village_23,"Thank you so much for the invitation, Sam! I really appreciate your warmth and kindness in welcoming me to the community. I look forward to attending your birthday party at The Rose and Crown Pub tomorrow evening and meeting more of the villagers.",True,True,False
newcomer to the village,newcomer to the village,True,Wolfgang,Ayesha,"February 13, 2023, 11:24:30",29,11,2_village_23,"After our run in the park, would you like to attend Sam's birthday party at The Rose and Crown Pub with me?",True,True,False
newcomer to the village,newcomer to the village,True,Wolfgang,Ayesha,"February 13, 2023, 11:24:30",29,13,2_village_23,Shall we stop by the local music event before heading to Sam's birthday party at The Rose and Crown Pub?,True,True,False
newcomer to the village,newcomer to the village,True,Ayesha,Wolfgang,"February 13, 2023, 11:24:40",29,14,2_village_23,"I think stopping by the local music event would be a wonderful way to immerse ourselves in the community before heading to Sam's birthday party at The Rose and Crown Pub. What do you think, Wolfgang?",True,True,False
newcomer to the village,newcomer to the village,True,Wolfgang,Ayesha,"February 13, 2023, 11:24:30",29,15,2_village_23,"Sounds like a plan, Ayesha! We can make our way to the local music event together and then head over to Sam's birthday party at The Rose and Crown Pub. I'm looking forward to experiencing the community vibe with you.",True,True,False
newcomer to the village,newcomer to the village,True,Carlos,Wolfgang,"February 13, 2023, 11:35:20",30,0,2_village_23,"Hey Wolfgang, I heard you're attending Sam's birthday party at The Rose and Crown Pub. Are you excited to explore more of the village before the event?",True,True,False
newcomer to the village,newcomer to the village,True,Ayesha,Carlos,"February 13, 2023, 13:08:10",35,15,2_village_23,I also wanted to suggest that we attend Sam's birthday party at The Rose and Crown Pub later in the evening. It would be a fun way to interact with the locals and celebrate with our new friends.,True,True,False
longterm resident of the village,newcomer to the village,True,Sam,Carlos,"February 13, 2023, 14:05:50",40,4,2_village_23,Let's also make plans to attend my birthday party at The Rose and Crown Pub tomorrow. It will be a great opportunity for you to meet more residents and immerse yourself in the community.,True,True,False
newcomer to the village,longterm resident of the village,True,Carlos,Sam,"February 13, 2023, 14:05:50",40,5,2_village_23,"Thank you so much, Sam! I truly appreciate the invitation to your birthday party at The Rose and Crown Pub. I am looking forward to meeting more residents and experiencing the community's warmth tomorrow evening.",True,True,False
longterm resident of the village,newcomer to the village,True,Sam,Carlos,"February 13, 2023, 14:05:50",40,6,2_village_23,I'm glad you're excited to attend the birthday party! It will be a great way for you to meet more villagers and feel welcomed in the community. I'll see you tomorrow at 4 pm at Hobbs Cafe and then we can head to The Rose and Crown Pub together.,True,True,False
newcomer to the village,longterm resident of the village,True,Carlos,Sam,"February 13, 2023, 14:05:50",40,7,2_village_23,"Thank you, Sam, for being so welcoming and showing me around the village. I'm really looking forward to exploring more with you and attending your birthday party at The Rose and Crown Pub.",True,True,False
newcomer to the village,longterm resident of the village,True,Carlos,Sam,"February 13, 2023, 14:05:50",40,11,2_village_23,"Thank you, Sam, for your kindness and for inviting me to your birthday party at The Rose and Crown Pub. I feel truly welcomed and I'm looking forward to exploring the village with you.",True,True,False
longterm resident of the village,newcomer to the village,True,Sam,Carlos,"February 13, 2023, 14:05:50",40,14,2_village_23,Let's plan to explore the local library together after our coffee at Hobbs Cafe and before heading to my birthday party at The Rose and Crown Pub tomorrow evening. It will be a great way for you to learn more about the village's history and culture.,True,True,False
newcomer to the village,newcomer to the village,True,Wolfgang,Ayesha,"February 13, 2023, 14:08:10",41,0,2_village_23,"Hey Ayesha, I was thinking we could check out the local music event tonight after Sam's birthday party at The Rose and Crown Pub, what do you think?",True,True,False
longterm resident of the village,newcomer to the village,True,Sam,Ayesha,"February 13, 2023, 14:25:50",43,14,2_village_23,"Ayesha, how about we attend my birthday party at The Rose and Crown Pub tomorrow? It would be a great way for you to meet more residents and experience a fun village celebration.",True,True,False
newcomer to the village,longterm resident of the village,True,Ayesha,Sam,"February 13, 2023, 14:25:40",43,15,2_village_23,"Sam, I truly appreciate your kindness and all the efforts you have made to introduce me to the village and its culture. I am grateful for your friendship and look forward to attending your birthday party at The Rose and Crown Pub tomorrow.",True,True,False
newcomer to the village,longterm resident of the village,True,Ayesha,Klaus,"February 13, 2023, 16:32:30",48,4,2_village_23,"Klaus, I was also thinking about joining Sam's birthday party at The Rose and Crown Pub later tonight. Would you be interested in coming along?",True,True,False
longterm resident of the village,newcomer to the village,True,Klaus,Ayesha,"February 13, 2023, 16:32:30",48,5,2_village_23,"That sounds like a fantastic idea, Ayesha. I would love to join Sam's birthday party at The Rose and Crown Pub later tonight. It will be a great opportunity for you to meet more of the local residents and immerse yourself in the community.",True,True,False
newcomer to the village,longterm resident of the village,True,Carlos,Sam,"February 13, 2023, 16:56:10",53,0,2_village_23,"Hey Sam, I wanted to thank you again for inviting me to your birthday party. I really appreciate the warm welcome I've received from you and the other villagers. I'm looking forward to exploring more of the village with you and meeting other residents. It's been a great experience so far!",True,False,False
longterm resident of the village,newcomer to the village,True,Sam,Wolfgang,"February 13, 2023, 18:40:00",65,0,2_village_23,"Hey Wolfgang, I'm glad you could make it to my birthday party. Have you had a chance to explore more of the village since you arrived?",True,False,False
longterm resident of the village,newcomer to the village,True,Sam,Ayesha,"February 13, 2023, 19:05:50",67,12,2_village_23,"Ayesha, don't forget to join me at my birthday party tomorrow evening at The Rose and Crown Pub. I would love for you to meet some of the other long-term residents and have a good time.",True,True,False
newcomer to the village,longterm resident of the village,True,Ayesha,Sam,"February 13, 2023, 19:05:40",67,13,2_village_23,"Thank you so much, Sam! I'm really looking forward to attending your birthday party at The Rose and Crown Pub tomorrow evening. It will be a great opportunity for me to meet more of the long-term residents and celebrate with you.",True,True,False
newcomer to the village,longterm resident of the village,True,Ayesha,Sam,"February 13, 2023, 19:05:40",67,15,2_village_23,"Thank you so much for all the wonderful recommendations, Sam! I really appreciate your help in discovering more about the village. I'm looking forward to exploring the village square, visiting the history museum, attending music events at the community center, trying out the bakery on Main Street, and most importantly, celebrating your birthday at The Rose and Crown Pub. I'm so grateful for your kindness and generosity.",True,True,False
longterm resident of the village,newcomer to the village,True,Klaus,Wolfgang,"February 13, 2023, 19:16:00",68,12,2_village_23,"I'm glad you're excited to explore the village with me, Wolfgang. I think it would be great for us to also attend Sam's birthday party at The Rose and Crown Pub. It's a local tradition and a fun way to connect with the community.",True,True,False
longterm resident of the village,newcomer to the village,True,Sam,Carlos,"February 13, 2023, 19:48:30",73,0,2_village_23,"Hey Carlos, I'm glad you made it to my birthday party! Have you had a chance to explore the village more since we last spoke?",True,False,False
longterm resident of the village,newcomer to the village,True,Sam,Isabella,"February 14, 2023, 07:33:50",83,5,2_village_23,"Isabella, after our walk tomorrow, would you like to join me at The Rose and Crown Pub for a drink and some birthday celebration? It's my birthday tonight, and I would love for you to be there.",True,True,False
newcomer to the village,longterm resident of the village,True,Isabella,Sam,"February 14, 2023, 07:34:00",83,6,2_village_23,"Happy birthday, Sam! I would love to join you at The Rose and Crown Pub for some drinks and celebration. Thank you for the invitation!",True,True,False
newcomer to the village,longterm resident of the village,True,Isabella,Sam,"February 14, 2023, 07:34:00",83,8,2_village_23,"Thank you, Sam! I truly appreciate your kindness and willingness to help me settle into the village. I am excited to explore Johnson Park with you tomorrow and join you at The Rose and Crown Pub to celebrate your birthday. I can't wait to meet the other residents and be a part of this wonderful community.",True,True,False
newcomer to the village,longterm resident of the village,True,Isabella,Sam,"February 14, 2023, 07:34:00",83,14,2_village_23,"Sam, I truly appreciate your kindness and willingness to help me settle into the village. I am excited to explore Johnson Park with you tomorrow and join you at The Rose and Crown Pub to celebrate your birthday. I can't wait to meet the other residents and be a part of this wonderful community.",True,True,False
newcomer to the village,longterm resident of the village,True,Carlos,Sam,"February 14, 2023, 09:15:00",90,0,2_village_23,"Hey Sam, I really appreciated your invitation to explore the village with you. I'm looking forward to attending your birthday party at The Rose and Crown Pub. By the way, have you been to the art gallery in town? I heard they have a new exhibition featuring local artists that might interest you.",True,True,False
longterm resident of the village,newcomer to the village,True,Sam,Carlos,"February 14, 2023, 09:14:50",90,1,2_village_23,"Hey Carlos, I'm glad you're excited to explore the village with me. I haven't been to the art gallery yet, but that exhibition sounds interesting. Let's make plans to check it out together after my birthday celebration. I think you'll really enjoy it.",True,False,False
newcomer to the village,longterm resident of the village,True,Carlos,Sam,"February 14, 2023, 09:15:00",90,2,2_village_23,"That sounds like a great plan, Sam! I would love to explore the art gallery with you after your birthday party. It will be a fantastic way to immerse ourselves in the local art scene.",True,False,False
longterm resident of the village,newcomer to the village,True,Sam,Wolfgang,"February 14, 2023, 11:15:10",100,2,2_village_23,"That's great to hear, Wolfgang! If you're interested, I can show you around the village and introduce you to more locals. Also, don't forget about my birthday celebration at The Rose and Crown Pub tonight. It would be fantastic if you could join us.",True,True,False
newcomer to the village,longterm resident of the village,True,Wolfgang,Sam,"February 14, 2023, 11:15:00",100,3,2_village_23,"Thank you so much, Sam! I would love to join you tonight at The Rose and Crown Pub for your birthday celebration. I'm excited to meet more villagers and be part of the community.",True,True,False
newcomer to the village,longterm resident of the village,True,Wolfgang,Sam,"February 14, 2023, 11:15:00",100,5,2_village_23,"Thank you, Sam! I really appreciate your offer to show me around the village and introduce me to more locals. I'll definitely join you at The Rose and Crown Pub tonight for your birthday celebration. I'm looking forward to meeting more villagers and immersing myself in the community.",True,True,False
longterm resident of the village,newcomer to the village,True,Sam,Wolfgang,"February 14, 2023, 11:15:10",100,8,2_village_23,"If you're interested, I can show you around the village and introduce you to more locals. Also, don't forget about my birthday celebration at The Rose and Crown Pub tonight. It would be fantastic if you could join us.",True,True,False
longterm resident of the village,newcomer to the village,True,Sam,Wolfgang,"February 14, 2023, 11:15:10",100,12,2_village_23,"If you're interested, I can show you around the village and introduce you to more locals. Also, don't forget about my birthday celebration at The Rose and Crown Pub tonight. It would be fantastic if you could join us.",True,True,False
newcomer to the village,longterm resident of the village,True,Wolfgang,Sam,"February 14, 2023, 11:15:00",100,13,2_village_23,"Thank you, Sam! I really appreciate your offer to show me around the village and introduce me to more locals. I'm excited to join you tonight at The Rose and Crown Pub for your birthday celebration and meet more villagers. The warm welcome and guidance you've shown me have made me feel part of the community already.",True,True,False
longterm resident of the village,newcomer to the village,True,Klaus,Ayesha,"February 14, 2023, 11:53:30",106,8,2_village_23,"Ayesha, I'm planning to attend Sam's birthday party at The Rose and Crown Pub later this evening. Would you like to join me and experience another aspect of the village's community?",True,True,False
newcomer to the village,longterm resident of the village,True,Ayesha,Klaus,"February 14, 2023, 11:53:20",106,9,2_village_23,"Thank you for the invitation, Klaus! I would love to join you for Sam's birthday party at The Rose and Crown Pub later this evening. It would be a great opportunity to experience another aspect of the village's community.",True,True,False
newcomer to the village,newcomer to the village,True,Isabella,Carlos,"February 14, 2023, 12:29:00",111,12,2_village_23,Would you like to join me at Hobbs Cafe for my birthday celebration later today? I would love for you to be there!,True,False,True
newcomer to the village,newcomer to the village,True,Carlos,Isabella,"February 14, 2023, 12:28:50",111,13,2_village_23,That sounds like a wonderful plan! I would be delighted to join you at Hobbs Cafe for your birthday celebration later today.,True,False,True
longterm resident of the village,newcomer to the village,True,Klaus,Wolfgang,"February 14, 2023, 13:29:10",119,10,2_village_23,"Since you've explored the old town square, village museum, local music scene, farmer's market, and library, would you be interested in attending Sam's birthday party at The Rose and Crown Pub? It's a fun way to experience the local community and celebrate with friends.",True,True,False
newcomer to the village,longterm resident of the village,True,Wolfgang,Klaus,"February 14, 2023, 13:29:00",119,11,2_village_23,"Thank you, Klaus, for the invitation! I would love to attend Sam's birthday party at The Rose and Crown Pub. It sounds like a fantastic way to celebrate and connect with the local community.",True,True,False
newcomer to the village,longterm resident of the village,True,Carlos,Sam,"February 14, 2023, 13:43:00",120,0,2_village_23,"Hey Sam, I was thinking about our upcoming plans to explore the village together. I can't wait to attend your birthday party at The Rose and Crown Pub. Do you have any recommendations for what we should do afterwards?",True,True,False
longterm resident of the village,newcomer to the village,True,Sam,Carlos,"February 14, 2023, 13:42:50",120,1,2_village_23,"Hey Carlos, I'm thrilled that you're excited about exploring the village with me and attending my birthday party. After the celebration at The Rose and Crown Pub, we could take a stroll through Johnson Park to enjoy the beauty of nature. I can also show you around the old town square and perhaps grab a coffee at Hobbs Cafe. There are so many things to see and do here, and I'm looking forward to sharing all of it with you.",True,True,False
longterm resident of the village,newcomer to the village,True,Klaus,Wolfgang,"February 14, 2023, 16:04:10",131,12,2_village_23,We can also plan to attend Sam's birthday party at The Rose and Crown Pub in the evening after exploring the village's cultural scene during the day.,True,True,False
longterm resident of the village,newcomer to the village,True,Sam,Tamara,"February 14, 2023, 16:26:30",134,0,2_village_23,"Hey Tamara, I hope you're enjoying settling into the village so far. I was thinking, after my birthday celebration tonight, we could plan a visit to the local library to explore more of the area's history. What do you think?",True,True,False
newcomer to the village,newcomer to the village,True,Isabella,Ayesha,"February 14, 2023, 16:57:00",140,12,2_village_23,"Ayesha, I'm planning to attend Sam Moore's birthday party at The Rose and Crown Pub later today. Would you like to join me?",True,True,False
newcomer to the village,newcomer to the village,True,Ayesha,Isabella,"February 14, 2023, 16:56:50",140,13,2_village_23,"Isabella, I would love to join you at Sam Moore's birthday party at The Rose and Crown Pub!",True,True,False
