init_group,target_group,know_each_other,init_name,target_name,time,conv_id,utterance_counter,simulation,utterance,birthday_mentioned,Sam_birthday_mentioned,Isabella_birthday_mentioned
newcomer to the village,newcomer to the village,True,Carlos,Isabella,"February 13, 2023, 11:28:00",21,5,1_village_23,"Thank you for inviting me to your birthday party at Hobbs Cafe tomorrow, Isabella! I am excited to join and celebrate with you.",True,False,True
longterm resident of the village,longterm resident of the village,True,Sam,Tom,"February 13, 2023, 12:03:10",24,0,1_village_23,"Hey Tom, did you manage to finalize your plans to attend the birthday bash at The Rose and Crown Pub tomorrow?",True,True,False
longterm resident of the village,longterm resident of the village,True,Tom,Sam,"February 13, 2023, 12:03:00",24,1,1_village_23,"Hey Sam, I'm really looking forward to celebrating your birthday at The Rose and Crown Pub tomorrow!",True,True,False
longterm resident of the village,longterm resident of the village,True,Tom,Sam,"February 13, 2023, 12:03:00",24,5,1_village_23,"I can't wait to toast to your birthday at The Rose and Crown Pub tomorrow, Sam!",True,True,False
longterm resident of the village,longterm resident of the village,True,Sam,Tom,"February 13, 2023, 12:03:10",24,12,1_village_23,"Tom, before you leave, make sure to grab a flyer for the birthday bash at The Rose and Crown Pub tomorrow. It has all the details and I wouldn't want you to miss out on anything.",True,True,False
longterm resident of the village,longterm resident of the village,True,Tom,Sam,"February 13, 2023, 12:03:00",24,13,1_village_23,"Thanks, Sam! I'll definitely grab a flyer for the birthday bash at The Rose and Crown Pub tomorrow. Looking forward to celebrating with you!",True,True,False
longterm resident of the village,longterm resident of the village,True,Sam,Tom,"February 13, 2023, 12:03:10",24,14,1_village_23,"Tom, before you head out, how about we grab a quick coffee at Hobbs Cafe later today? It would be a great opportunity to catch up even more before the birthday bash tomorrow.",True,True,False
longterm resident of the village,longterm resident of the village,True,Tom,Sam,"February 13, 2023, 12:03:00",24,15,1_village_23,"Hey Sam, that sounds like a wonderful idea! Let's definitely grab a quick coffee at Hobbs Cafe later today to catch up even more before the birthday bash tomorrow.",True,True,False
longterm resident of the village,longterm resident of the village,True,Sam,Eddy,"February 13, 2023, 12:38:00",28,10,1_village_23,Let's also make sure to stop by The Rose and Crown Pub after our visit to Johnson Park. We can finalize the details for my birthday party happening there tomorrow. How about we meet at the pub at 5pm to go over the arrangements?,True,True,False
longterm resident of the village,longterm resident of the village,True,Sam,Eddy,"February 13, 2023, 12:38:00",28,12,1_village_23,"That sounds like a fantastic idea, Eddy! Let's definitely plan to include our friends from the village community in the poetry and music event. It will be a great opportunity to showcase our talents and bring the community together. We can discuss the details and logistics further when we meet at The Rose and Crown Pub tomorrow for my birthday party. I'm really excited about this joint event!",True,True,False
longterm resident of the village,longterm resident of the village,True,Sam,Klaus,"February 13, 2023, 13:12:00",32,7,1_village_23,We should also invite Isabella to my birthday party at The Rose and Crown Pub tomorrow. I'm sure she would enjoy it!,True,True,False
longterm resident of the village,newcomer to the village,True,Sam,Tamara,"February 13, 2023, 14:25:30",43,2,1_village_23,Would you like to join me at The Rose and Crown Pub for my birthday party tomorrow?,True,True,False
newcomer to the village,longterm resident of the village,True,Tamara,Sam,"February 13, 2023, 14:25:20",43,3,1_village_23,"Thank you for the invitation, Sam. I would love to join you at The Rose and Crown Pub for your birthday party tomorrow!",True,True,False
newcomer to the village,longterm resident of the village,True,Tamara,Sam,"February 13, 2023, 14:25:20",43,5,1_village_23,That sounds like a wonderful plan. I appreciate you inviting me to your birthday party. I'm looking forward to joining you and having a great time!,True,True,False
longterm resident of the village,longterm resident of the village,True,Tom,Sam,"February 13, 2023, 15:23:20",46,0,1_village_23,Hey Sam! How's the birthday party planning going? Are you still thinking of making a trip to the store to finalize things?,True,True,False
longterm resident of the village,longterm resident of the village,True,Tom,Sam,"February 13, 2023, 15:23:20",46,6,1_village_23,"Great, looking forward to celebrating your birthday tomorrow at The Rose and Crown Pub! Let me know if you need any last-minute help with the party preparations.",True,True,False
longterm resident of the village,longterm resident of the village,True,Tom,Sam,"February 13, 2023, 15:23:20",46,8,1_village_23,Sounds like the birthday party at The Rose and Crown Pub is going to be a blast! Can't wait to catch up with everyone there!,True,True,False
longterm resident of the village,longterm resident of the village,True,Sam,Eddy,"February 13, 2023, 17:07:50",55,1,1_village_23,Hey Eddy! Thank you so much for coming and for the birthday wishes. I'm truly having a great time here at The Rose and Crown Pub surrounded by wonderful friends. How about you? Are you enjoying the party?,True,True,False
longterm resident of the village,longterm resident of the village,True,Eddy,Sam,"February 13, 2023, 17:07:50",55,2,1_village_23,"I'm having a great time at your birthday party, Sam. It's always fun to celebrate with friends and enjoy the vibrant atmosphere here at The Rose and Crown Pub.",True,True,False
longterm resident of the village,longterm resident of the village,True,Sam,Eddy,"February 13, 2023, 17:07:50",55,3,1_village_23,"I'm glad you're enjoying the party, Eddy. Have you tried the birthday cake yet? It's delicious!",True,True,False
newcomer to the village,longterm resident of the village,True,Isabella,Sam,"February 13, 2023, 18:36:30",65,0,1_village_23,"Thank you so much for inviting me to your birthday party, Sam! It's been lovely seeing you enjoy yourself here at The Rose and Crown Pub.",True,True,False
newcomer to the village,longterm resident of the village,True,Isabella,Adam,"February 13, 2023, 18:56:40",67,2,1_village_23,I'm planning on having my birthday party at Hobbs Cafe tomorrow at 5pm. Would you like to join us?,True,False,True
longterm resident of the village,newcomer to the village,True,Adam,Isabella,"February 13, 2023, 18:56:30",67,3,1_village_23,That sounds like a great idea! I'd love to join your birthday party at Hobbs Cafe tomorrow at 5pm.,True,False,True
longterm resident of the village,longterm resident of the village,True,Tom,Sam,"February 13, 2023, 20:51:40",72,5,1_village_23,"Sam, I wanted to thank you for inviting me to your birthday party at The Rose and Crown Pub. I had a great time catching up and celebrating with you.",True,True,False
newcomer to the village,newcomer to the village,True,Isabella,Ayesha,"February 13, 2023, 21:17:20",75,4,1_village_23,I'm also planning my birthday party at Hobbs Cafe tomorrow evening. Would you like to join me?,True,False,True
newcomer to the village,newcomer to the village,True,Ayesha,Isabella,"February 13, 2023, 21:17:10",75,5,1_village_23,"That sounds like a lovely plan, Isabella! I would be delighted to join you at your birthday party at Hobbs Cafe tomorrow evening.",True,False,True
newcomer to the village,newcomer to the village,True,Ayesha,Carlos,"February 14, 2023, 09:06:10",86,1,1_village_23,"Hey Carlos! My day is going well, thank you. I'm excited about attending Isabella's birthday party at Hobbs Cafe tonight and visiting Johnson Park this afternoon. How about you?",True,False,True
newcomer to the village,newcomer to the village,True,Carlos,Ayesha,"February 14, 2023, 09:06:20",86,2,1_village_23,That sounds fantastic! I'm looking forward to the creative writing workshop and finalizing plans for Isabella's birthday party at Hobbs Cafe. Perhaps we could discuss our poetry and music project more during our visit to the farmers' market and book club. Are you up for it?,True,False,True
newcomer to the village,newcomer to the village,True,Isabella,Carlos,"February 14, 2023, 12:54:10",110,0,1_village_23,Hi Carlos! I'm so glad we can explore the village together and plan for my birthday celebration. Have you had a chance to check out the farmers' market and art gallery yet?,True,False,True
longterm resident of the village,newcomer to the village,True,Sam,Tamara,"February 14, 2023, 14:33:30",122,2,1_village_23,"Hey Tamara, since you're new to the village, would you like me to show you around some local spots before my birthday party tomorrow?",True,True,False
newcomer to the village,longterm resident of the village,True,Carlos,Adam,"February 14, 2023, 15:20:10",126,0,1_village_23,"Hello Adam, thank you for all the recommendations and invitations you have given me. I had a great time at the creative writing workshop and collaborating on the poetry and music project. I'm looking forward to Isabella's birthday party later today and exploring more of the village. Do you have any other events or projects you think I should get involved in?",True,False,True
newcomer to the village,newcomer to the village,True,Isabella,Ayesha,"February 14, 2023, 16:21:10",131,9,1_village_23,I'm also planning to attend Sam's birthday party at The Rose and Crown Pub at 5pm today. Would you like to join me?,True,True,False
newcomer to the village,newcomer to the village,True,Ayesha,Isabella,"February 14, 2023, 16:21:10",131,10,1_village_23,"That sounds like a wonderful plan, Isabella! I'd be delighted to join you at Sam's birthday party at The Rose and Crown Pub at 5pm today. It'll be a great opportunity for us to socialize and have a good time together.",True,True,False
longterm resident of the village,longterm resident of the village,True,Tom,Sam,"February 14, 2023, 17:10:50",136,1,1_village_23,"Hey Sam, everything went smoothly today. The sales were good, and I'm excited for your birthday bash at The Rose and Crown Pub later. How are you feeling about it?",True,True,False
longterm resident of the village,longterm resident of the village,True,Sam,Klaus,"February 14, 2023, 18:02:30",143,1,1_village_23,"Absolutely, Klaus! I've finalized the plans. We're starting at Johnson Park in the morning and then heading to my birthday party at The Rose and Crown Pub in the afternoon. Isabella is going to love it!",True,True,False
longterm resident of the village,longterm resident of the village,True,Klaus,Sam,"February 14, 2023, 18:02:40",143,2,1_village_23,"That sounds like a fantastic plan, Sam! I'm excited to accompany Isabella to both Johnson Park in the morning and then your birthday party at The Rose and Crown Pub in the afternoon. I'm sure she'll feel extremely welcomed and excited to be part of our vibrant community.",True,True,False
longterm resident of the village,newcomer to the village,True,Tom,Carlos,"February 14, 2023, 18:15:10",145,8,1_village_23,Let's also plan to stop by The Rose and Crown Pub this evening for Sam Moore's birthday bash. It'll be a great opportunity for you to meet more locals and enjoy some live music.,True,True,False
newcomer to the village,newcomer to the village,True,Isabella,Tamara,"February 14, 2023, 18:22:40",147,0,1_village_23,"Hi Tamara! I was just tidying up the cafe for my birthday party tonight, and I couldn't help but notice you attending a yoga class. How was it? Did you enjoy it?",True,False,True
newcomer to the village,newcomer to the village,True,Tamara,Isabella,"February 14, 2023, 18:22:30",147,1,1_village_23,"Hi Isabella! Yes, the yoga class was great. It was so relaxing and energizing at the same time. How are you feeling about your birthday party tonight?",True,False,True
newcomer to the village,longterm resident of the village,True,Isabella,Sam,"February 14, 2023, 19:48:30",159,1,1_village_23,"Hi Sam! The meal was delicious, thank you for asking. How was your birthday celebration going?",True,True,False
newcomer to the village,newcomer to the village,True,Isabella,Ayesha,"February 14, 2023, 20:02:00",160,0,1_village_23,"Hey Ayesha, I'm so glad you could make it to my birthday party at Hobbs Cafe! Have you had a chance to explore Johnson Park yet?",True,False,True
newcomer to the village,newcomer to the village,True,Isabella,Ayesha,"February 14, 2023, 20:02:00",160,8,1_village_23,I'm also planning to attend Sam's birthday party at The Rose and Crown Pub tonight at 5 pm. Would you like to join me?,True,True,False
newcomer to the village,newcomer to the village,True,Ayesha,Isabella,"February 14, 2023, 20:01:50",160,9,1_village_23,"That sounds like a fantastic plan, Isabella! I would love to join you at Sam's birthday party at The Rose and Crown Pub. Thank you for inviting me!",True,True,False
newcomer to the village,newcomer to the village,True,Ayesha,Isabella,"February 14, 2023, 20:01:50",160,11,1_village_23,"I'm excited to explore the village with you and attend the art exhibition and Sam's birthday party. Thank you for including me in your plans, Isabella!",True,True,False
longterm resident of the village,longterm resident of the village,True,Sam,Tom,"February 14, 2023, 21:48:10",174,0,1_village_23,"Hey Tom, I wanted to thank you again for offering to help with the decorations, snacks, and drinks for my birthday party at The Rose and Crown Pub. Your support means a lot to me.",True,True,False
longterm resident of the village,longterm resident of the village,True,Tom,Sam,"February 14, 2023, 21:48:00",174,1,1_village_23,"Hey Sam, it's my pleasure to help out. I'm really looking forward to celebrating your birthday and catching up with everyone. Let's make sure it's a memorable night!",True,True,False
