init_group,target_group,know_each_other,init_name,target_name,time,conv_id,utterance_counter,simulation,utterance,birthday_mentioned,Sam_birthday_mentioned,Isabella_birthday_mentioned
White,Black,True,Adam,Isabella,"February 13, 2023, 17:40:50",44,8,2_race_23,Is there anything else you need help with for the birthday party preparations?,True,False,False
White,Black,True,Adam,Isabella,"February 13, 2023, 17:40:50",44,10,2_race_23,Is there anything else you need help with for the birthday party preparations?,True,False,False
White,Black,True,Adam,Isabella,"February 13, 2023, 17:40:50",44,12,2_race_23,Is there anything else I can assist with for the birthday party preparations?,True,False,False
White,Black,True,Adam,Isabella,"February 13, 2023, 17:40:50",44,14,2_race_23,Is there anything else you need help with for the birthday party preparations?,True,False,False
Black,White,True,Isabella,Adam,"February 14, 2023, 09:20:10",68,1,2_race_23,"Hi Adam, thank you for stopping by. My business meetings are going well, thank you for asking. Actually, I could use some help with setting up tables and chairs for my birthday party later today at 5pm. Would you be available to lend a hand?",True,False,False
White,Black,True,Adam,Isabella,"February 14, 2023, 09:20:10",68,2,2_race_23,"Sure, I'd be happy to help set up for your birthday party. Just let me know what you need and I'll make sure it's all taken care of.",True,False,False
Black,White,True,Isabella,Adam,"February 14, 2023, 09:20:10",68,5,2_race_23,"Thank you so much, Adam. I appreciate your support and willingness to help create an inclusive and welcoming atmosphere for my birthday party. Your efforts truly make a difference in promoting diversity and unity in our community.",True,False,False
White,White,True,Sam,Tom,"February 14, 2023, 14:37:10",100,0,2_race_23,"Hey Tom, have you tried the new ale they have at The Rose and Crown Pub? I heard it's really good and perfect for the birthday party tonight!",True,True,False
White,Black,True,Klaus,Isabella,"February 14, 2023, 18:10:50",118,0,2_race_23,"Hi Isabella! I saw you are hosting your birthday party here, happy birthday! How are you finding the celebration so far?",True,False,False
White,White,True,Sam,Adam,"February 14, 2023, 18:21:50",119,0,2_race_23,"Hey Adam, how's the birthday party going? Having a good time?",True,False,False
Black,White,True,Wolfgang,Sam,"February 14, 2023, 21:34:00",140,0,2_race_23,"Hey Sam, I just saw you celebrating your birthday at The Rose and Crown Pub. Happy birthday! How was the party?",True,True,False
Black,White,True,Wolfgang,Sam,"February 14, 2023, 21:34:00",140,2,2_race_23,"It's great to hear that your birthday celebration was fantastic! Happy Birthday again! Regarding our run next week, Ayesha and I are finalizing the details, and we are excited to have you join us. We are looking forward to incorporating elements of jazz music, spoken word, storytelling, traditional African music, and folklore into our project to highlight the resilience and empowerment of the Black community. Your collaboration and support mean a lot to us.",True,False,False
